zip,Average Education Index 2000,Average Education Index 2014,Index Change,Median Cost for House 2000,Median Cost for House 2014,Change in Cost for House,Median Income 2000,Median Income 2014,Income Change,Median Rent 2000,Median Rent 2014,Rent Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Take Public Transp % Change,Total Population % in 2000,Total Population % in 2014,Total Population % Change,White Population % in 2000,White Population % in 2014,White Population % Change,Outcome
95129,15.21,15.84,0.629999999999999,2075.0,3237.0,1162.0,79489.0,107493.0,28004.0,1282.0,1762.0,480.0,0.021,0.023,0.0019999999999999983,37565.0,40530.0,2965.0,0.498,0.293,-0.20500000000000002,
90405,15.21,15.73,0.5199999999999996,2394.0,3385.0,991.0,50540.0,78756.0,28216.0,741.0,1547.0,806.0,0.032,0.027000000000000003,-0.0049999999999999975,26089.0,28535.0,2446.0,0.785,0.789,0.0040000000000000036,
94530,15.21,15.46,0.25,1634.0,2763.0,1129.0,56905.0,87598.0,30693.0,905.0,1460.0,555.0,0.20600000000000002,0.23800000000000002,0.032,23121.0,24301.0,1180.0,0.581,0.57,-0.01100000000000001,
91361,15.2,15.5,0.3000000000000007,2418.0,3299.0,881.0,86646.0,103306.0,16660.0,1198.0,1908.0,710.0,0.005,0.006999999999999999,0.001999999999999999,18724.0,20266.0,1542.0,0.905,0.8590000000000001,-0.04599999999999993,
92679,15.19,15.45,0.2599999999999998,2457.0,3462.0,1005.0,112998.0,149538.0,36540.0,1301.0,1956.0,655.0,0.006,0.001,-0.005,32267.0,32822.0,555.0,0.875,0.8340000000000001,-0.040999999999999925,
90036,15.19,15.61,0.41999999999999993,2298.0,4001.0,1703.0,47746.0,71049.0,23303.0,1043.0,1818.0,775.0,0.040999999999999995,0.033,-0.007999999999999993,32885.0,36425.0,3540.0,0.7,0.6559999999999999,-0.04400000000000004,
94956,15.17,14.66,-0.5099999999999998,1824.0,3079.0,1255.0,50673.0,38750.0,-11923.0,933.0,975.0,42.0,0.024,0.016,-0.008,1874.0,1687.0,-187.0,0.9159999999999999,0.682,-0.23399999999999987,
91377,15.17,15.62,0.4499999999999993,2336.0,2890.0,554.0,89561.0,117326.0,27765.0,1480.0,2001.0,521.0,0.006,0.002,-0.004,14809.0,14512.0,-297.0,0.88,0.818,-0.062000000000000055,
91711,15.17,15.44,0.2699999999999996,1624.0,2668.0,1044.0,66663.0,89508.0,22845.0,787.0,1345.0,558.0,0.026000000000000002,0.039,0.012999999999999998,34715.0,36484.0,1769.0,0.735,0.7120000000000001,-0.02299999999999991,
92009,15.16,15.58,0.41999999999999993,1980.0,3178.0,1198.0,76368.0,102212.0,25844.0,1176.0,1845.0,669.0,0.019,0.02,0.0010000000000000009,43155.0,43627.0,472.0,0.888,0.835,-0.05300000000000005,
