zip,Average Education Index 2014,Median Income 2014,Median Rent 2014,Take Public Transp % in 2014,Total Population % in 2014,White Population % in 2014
95118,14.26,90984.0,1617.0,0.023,31579.0,0.669
93465,14.1,83194.0,1186.0,0.003,9652.0,0.863
91350,14.24,97921.0,1694.0,0.016,35826.0,0.742
94030,14.49,92006.0,1779.0,0.11199999999999999,22203.0,0.483
90404,14.71,65035.0,1427.0,0.073,21641.0,0.7190000000000001
91344,13.93,77247.0,1538.0,0.027000000000000003,53165.0,0.634
94609,14.88,56378.0,1143.0,0.265,22059.0,0.509
92382,14.15,66875.0,1248.0,0.006999999999999999,5161.0,0.9079999999999999
92831,14.04,57333.0,1292.0,0.032,35316.0,0.637
92508,14.01,92684.0,1873.0,0.017,36583.0,0.667
95035,14.04,98899.0,1798.0,0.03,69635.0,0.203
94952,14.19,75221.0,1334.0,0.026000000000000002,35081.0,0.821
93021,14.06,99537.0,1720.0,0.017,36407.0,0.7859999999999999
95123,13.92,90881.0,1810.0,0.03,64602.0,0.612
