,Average Education Index 2014,zip
1413,12.19,95380
1414,12.18,90680
1415,12.18,92345
1416,12.18,92059
1417,12.18,91761
1418,12.17,95979
1419,12.17,95407
1420,12.17,95828
1421,12.17,92243
1422,12.16,95493
1423,12.14,93637
1424,12.13,96035
1425,12.13,95948
1426,12.13,96040
1427,12.12,91342
1428,12.12,90640
1429,12.12,95653
1430,12.12,96021
1431,12.12,92551
1432,12.11,93516
1433,12.10,92583
1434,12.10,95312
1435,12.10,92408
1436,12.09,93224
1437,12.08,95363
1438,12.07,93558
1439,12.07,95230
1440,12.06,95210
1441,12.05,92802
1442,12.05,92240
1443,12.04,93591
1444,12.03,92543
1445,12.03,92227
1446,12.03,92706
1447,12.02,93906
1448,12.02,92083
1449,12.02,93210
1450,12.01,93705
1451,12.01,91950
1452,12.01,92394
1453,12.00,95324
1454,12.00,92530
1455,12.00,91948
1456,12.00,92280
1457,12.00,95944
1458,12.00,95912
1459,11.99,92324
1460,11.99,93015
1461,11.98,94060
1462,11.97,93060
1463,11.96,95815
1464,11.96,91762
1465,11.96,92258
1466,11.95,91605
1467,11.95,92275
1468,11.95,92283
1469,11.95,95385
1470,11.95,91770
1471,11.94,95838
1472,11.94,92405
1473,11.93,93274
1474,11.93,92404
1475,11.92,90606
1476,11.92,90015
1477,11.91,96049
1478,11.91,93654
1479,11.91,94063
1480,11.91,93501
1481,11.90,94801
1482,11.90,90805
1483,11.90,95111
1484,11.89,91768
1485,11.88,92105
1486,11.88,93030
1487,11.88,95698
1488,11.87,90007
1489,11.87,95832
1490,11.86,95431
