,house_median_value_2000,zip
1169,"$127,400",95311
1170,"$127,300",95834
1171,"$127,300",96003
1172,"$127,100",96087
1173,"$126,500",92325
1174,"$126,400",96128
1175,"$126,200",95379
1176,"$125,900",95324
1177,"$125,800",92234
1178,"$125,500",92504
1179,"$125,400",93451
1180,"$125,400",96093
1181,"$125,000",93545
1182,"$125,000",95970
1183,"$125,000",96050
1184,"$124,500",96105
1185,"$124,000",95551
1186,"$123,800",95559
1187,"$123,300",92371
1188,"$123,300",92585
1189,"$123,200",93631
1190,"$123,100",93541
1191,"$122,700",95207
1192,"$122,200",95531
1193,"$122,200",95941
1194,"$121,600",96056
1195,"$121,400",95913
1196,"$121,100",93561
1197,"$121,000",95316
1198,"$120,900",95350
1199,"$120,500",92307
1200,"$120,400",96022
1201,"$120,300",96017
1202,"$120,200",93553
1203,"$120,100",95645
1204,"$120,000",95573
1205,"$120,000",96121
1206,"$119,900",95367
1207,"$119,800",95380
1208,"$119,800",95567
1209,"$119,800",95814
1210,"$119,800",95932
1211,"$119,500",95525
1212,"$119,500",95571
1213,"$119,400",93244
1214,"$119,200",95322
1215,"$119,100",93292
1216,"$119,000",95827
1217,"$118,800",92309
1218,"$118,800",95565
1219,"$118,600",95636
1220,"$118,500",95563
1221,"$118,500",95833
1222,"$118,400",95828
1223,"$118,100",93277
1224,"$118,000",92059
1225,"$117,900",96002
1226,"$117,800",92570
1227,"$117,500",93704
1228,"$117,500",95930
1229,"$117,400",95686
1230,"$117,000",96037
1231,"$116,700",92268
1232,"$116,700",95307
1233,"$116,500",95313
1234,"$116,500",95471
1235,"$116,300",93621
1236,"$116,200",95626
1237,"$116,100",92544
1238,"$116,100",95303
1239,"$116,100",95673
