,median_cost for house_2014,zip
1156,"$1,595",96093
1157,"$1,594",95329
1158,"$1,592",95636
1159,"$1,592",95817
1160,"$1,591",90222
1161,"$1,591",95316
1162,"$1,591",95912
1163,"$1,589",92582
1164,"$1,589",95822
1165,"$1,589",95833
1166,"$1,588",95426
1167,"$1,588",95826
1168,"$1,587",92307
1169,"$1,586",96130
1170,"$1,585",93301
1171,"$1,585",93704
1172,"$1,584",93552
1173,"$1,583",95417
1174,"$1,583",95717
1175,"$1,582",93602
1176,"$1,581",93925
1177,"$1,580",95922
1178,"$1,578",95942
1179,"$1,577",95684
1180,"$1,577",95971
1181,"$1,577",96003
1182,"$1,576",95451
1183,"$1,575",93291
1184,"$1,571",93657
1185,"$1,570",92321
1186,"$1,570",95832
1187,"$1,570",95983
1188,"$1,569",92324
1189,"$1,568",92382
1190,"$1,566",92268
1191,"$1,565",95237
1192,"$1,563",90716
1193,"$1,563",95227
1194,"$1,562",92201
1195,"$1,561",92113
1196,"$1,561",93210
1197,"$1,560",95327
1198,"$1,558",93532
1199,"$1,558",95536
1200,"$1,556",96114
1201,"$1,555",96008
1202,"$1,554",95312
1203,"$1,553",93513
1204,"$1,548",92571
1205,"$1,548",93221
1206,"$1,543",95383
1207,"$1,542",95215
1208,"$1,539",95334
1209,"$1,539",96065
1210,"$1,538",92036
1211,"$1,538",93277
1212,"$1,537",92637
1213,"$1,534",96002
1214,"$1,532",95901
1215,"$1,531",95540
1216,"$1,529",93243
1217,"$1,528",93662
1218,"$1,528",95558
1219,"$1,525",92570
1220,"$1,523",92276
1221,"$1,522",93230
1222,"$1,522",95841
1223,"$1,521",92501
1224,"$1,520",93722
1225,"$1,519",95340
1226,"$1,518",95673
1227,"$1,516",96141
1228,"$1,512",93630
1229,"$1,512",96096
1230,"$1,511",93313
1231,"$1,508",92371
1232,"$1,508",93543
1233,"$1,506",96041
1234,"$1,504",95573
1235,"$1,503",92316
1236,"$1,503",95621
1237,"$1,501",95338
1238,"$1,501",95521
1239,"$1,500",96091
1240,"$1,496",95987
1241,"$1,495",91906
