,Median_Rent_2000,zip
1402,$476,92301
1403,$476,93630
1404,$476,95388
1405,$476,96025
1406,$475,93207
1407,$475,93287
1408,$475,93305
1409,$475,95313
1410,$475,95389
1411,$475,95454
1412,$475,95913
1413,$475,95914
1414,$475,95972
1415,$475,95984
1416,$475,96014
1417,$475,96110
1418,$475,96115
1419,$474,92252
1420,$474,93527
1421,$474,95692
1422,$474,95965
1423,$474,96094
1424,$472,93212
1425,$472,93239
1426,$471,92277
1427,$471,96055
1428,$470,92236
1429,$470,92285
1430,$470,93223
1431,$470,93301
1432,$469,93616
1433,$469,93702
1434,$469,96013
1435,$468,91934
1436,$468,93516
1437,$467,93282
1438,$465,95947
1439,$465,96118
1440,$464,95814
1441,$463,92347
1442,$463,93260
1443,$463,96097
1444,$462,93205
1445,$462,95428
1446,$462,95912
1447,$461,93215
1448,$461,93267
1449,$460,93210
1450,$460,93250
1451,$460,93706
1452,$459,92233
1453,$458,92365
1454,$457,96041
1455,$456,92259
1456,$456,95333
1457,$456,95968
1458,$456,96023
1459,$455,92363
1460,$455,93549
1461,$455,93664
1462,$453,93265
1463,$453,93605
1464,$452,95970
1465,$450,95922
1466,$448,93544
1467,$448,93640
1468,$448,96009
1469,$447,93270
1470,$446,93263
1471,$445,93266
1472,$445,96027
1473,$444,95494
1474,$444,96016
1475,$444,96048
1476,$442,93241
1477,$441,93432
1478,$441,95526
1479,$440,92275
1480,$440,93648
1481,$440,96006
1482,$440,96021
1483,$440,96101
1484,$438,93249
1485,$438,93256
1486,$438,93673
1487,$438,95948
1488,$438,96075
1489,$437,95988
1490,$436,92368
1491,$436,95548
1492,$436,95957
1493,$435,93201
1494,$435,93285
1495,$434,93283
1496,$433,93622
1497,$432,92332
1498,$431,90015
1499,$429,95369
1500,$428,93501
1501,$428,95231
1502,$426,92398
1503,$425,93634
1504,$425,95545
1505,$425,95552
1506,$425,95837
1507,$425,96038
1508,$425,96044
1509,$425,96076
1510,$424,93625
1511,$424,93701
1512,$424,96104
1513,$423,95653
1514,$422,95365
1515,$422,95951
1516,$422,96010
1517,$422,96050
1518,$421,95113
1519,$421,95612
1520,$420,92257
1521,$419,92059
1522,$419,92281
1523,$419,95918
1524,$418,93608
1525,$418,94104
1526,$417,95686
1527,$417,96058
1528,$416,95488
1529,$414,92327
1530,$414,96039
1531,$411,92401
1532,$411,95306
1533,$411,96091
1534,$409,95317
1535,$408,95568
1536,$407,93276
1537,$406,93450
1538,$406,95953
1539,$405,93280
1540,$404,92258
1541,$400,93261
1542,$400,93262
1543,$400,93606
1544,$399,93219
1545,$397,93203
1546,$397,93545
1547,$390,92070
1548,$390,95934
1549,$388,95558
1550,$388,95676
1551,$387,90017
1552,$386,92364
1553,$386,95387
1554,$385,93668
1555,$385,93721
1556,$385,95202
1557,$385,96134
1558,$384,93286
1559,$383,95546
1560,$382,92328
1561,$381,95230
1562,$376,95318
1563,$375,93651
1564,$375,93652
1565,$375,95312
1566,$375,96040
1567,$375,96074
